word	kept	dropped	passes	tier
2世	20	11	20 | 11 20 | 20	corpus
A	11	10	10 | 11 | 11	corpus
ADP	10	40	40 | 10 | 10	corpus
AI	30 45	32	30 32 | 30 45 | 30 45	corpus
ASCII	31 51	40	31 51 | 31 51 | 31 40	corpus
ATM	45	27	45 | 27 45 | 45	corpus
Am	51	10	10 | 51 | 51	corpus
Ar		10 51	10 | 51	corpus
Au	51	27	27 | 51 | 51	corpus
B	10	11	10 | 10 | 11	corpus
C	31	51	51 | 31 | 31	corpus
CLI	45	31	45 | 31 45 | 45	corpus
CPU	45	40	45 | 45 | 40 45	corpus
Cal	16	19	16 | 16 | 19	corpus
DNA	51	53 56 57	51 56 | 51 53 | 51 57	corpus
FISA	36	27 34	34 36 | 27 36 | 36	corpus
G	19	51	51 | 19 | 19	corpus
GUI	45	31	45 | 31 45 | 45	corpus
H	51	19	51 | 51 | 19	corpus
HTTP	31	45	31 | 31 45 | 31	corpus
I		19 20	20 | 19	corpus
JAVA	31 45	40	31 45 | 31 45 | 40	corpus
Linux	40	45	40 | 40 45 | 40	corpus
MP	19	24	19 | 19 | 24	corpus
P	19	40	40 | 19 | 19	corpus
PC	45	40	45 | 45 | 40 45	corpus
PS		31 40 45	40 | 31 | 45	corpus
RAM	45	51	45 51 | 45 | 45	corpus
S	10	51	10 | 10 | 51	corpus
UNIX	45	38	38 | 45 | 45	corpus
Unix	45	26 38	26 45 | 38 45 | 45	corpus
a		10 31	31 | 10	corpus
abb		10 31 40	10 | 40 | 31	corpus
afl	45	38	45 | 45 | 38	corpus
ag		10 31 38	10 | 31 | 38	corpus
alt	31	45	31 | 31 | 31 45	corpus
atf	27	45	27 | 27 | 45	corpus
atm	45	27	45 | 45 | 27 45	corpus
bar		19 44 45	45 | 19 | 44	corpus
bb	40	10	40 | 10 | 40	corpus
bi		10 19	10 | 19	corpus
bw		19 40 45	45 | 40 | 19	corpus
cc	51	40 45	51 | 40 45 | 51	corpus
cd	45	40	45 | 45 | 40	corpus
ct		10 40 45	10 | 45 | 40	corpus
dl		10 19	10 | 19	corpus
dp		40 45	40 | 45	corpus
ebs	40	45	40 | 40 | 45	corpus
eq	45	10	10 | 45 | 45	corpus
ev		10 19 45	10 | 19 | 45	corpus
fcs		31 40	31 | 40	corpus
ftp	31	38 45	31 | 31 38 | 31 45	corpus
gp	19	45	45 | 19 | 19	corpus
gpo	27	40	40 | 27 | 27	corpus
h		10 19 31	10 | 19 | 31	corpus
http	31	45	31 | 31 45 | 31	corpus
ic	45	40	40 | 45 | 45	corpus
imu		10 24	10 | 24	corpus
kbo		10 11	10 | 11	corpus
kp		10 24	10 | 24	corpus
kv		19 40	40 | 19	corpus
l		10 31	31 | 10	corpus
lf	31	10	10 | 31 | 31	corpus
lifo	30	45	30 | 30 | 30 45	corpus
lm		19 31	31 | 19	corpus
m1	40	45	40 | 40 | 45	corpus
mil	19	26	19 | 26 | 19	corpus
nm	19	45	45 | 19 | 19	corpus
os	45	51	45 | 51 | 45	corpus
ov	10	40	10 | 40 | 10	corpus
pda	45	40	45 | 45 | 40 45	corpus
pid	40	10	10 | 40 | 40	corpus
pto		10 34	10 | 34	corpus
r		10 31	10 | 31	corpus
rb	40	51	40 | 40 | 51	corpus
rg		31 45	45 | 31	corpus
sse	45	31	31 | 45 | 45	corpus
www	31	10	10 | 31 | 31	corpus
あい	16	17	16 17 | 16 | 16	corpus
あく		10 13 15 19	15 | 19 | 10 13	corpus
あたり	19	11 17	11 | 19 | 17 19	corpus
あの世	17 57	26	17 57 | 17 57 | 26 57	jmdict
あり	12	10	12 | 12 | 10	corpus
ある	10	12	10 | 10 | 12	corpus
あれ	10	40	10 | 10 | 40	corpus
あわせ	15	35	15 | 15 | 35	corpus
あん摩	38	24 30 32	30 | 32 38 | 24 38	jmdict
いか	55	11 43	11 | 43 55 | 55	corpus
いが		10 20 40	10 40 | 20	corpus
いきれ		19 56 57	57 | 56 | 19	corpus
いざこざ	35	10	35 | 35 | 10 35	jmdict
いたこ		40 43	40 | 43	corpus
いたち	15 55	10	10 | 15 55 | 15 55	corpus
いたちごっこ	10 15	35	10 15 | 10 35 | 10 15	corpus
いで		30 31	31 | 30	corpus
いる	15	12	15 | 12 | 15	corpus
いるか		10 30 55	10 | 30 | 55	corpus
う		10 15 31	31 | 15 | 10	corpus
うんこ	56	43	56 | 56 | 43	jmdict
え	40	45	40 | 40 | 40 45	corpus
えい	55	10	10 | 55 | 55	corpus
えな		43 54	43 | 54	corpus
え付け	43	33	43 | 33 | 43	corpus
おい		20 30	30 | 20	corpus
おき		16 17 37	17 | 37 | 16	corpus
おけ	45	17 40	17 | 40 45 | 45	corpus
おそれ	30	10	10 30 | 30 | 30	corpus
おとり	40	30	40 | 30 40 | 40	corpus
お使い	35	15	35 | 15 | 35	jmdict
お凸	56	18	56 | 56 | 18 56	jmdict
お出かけ	15	17	15 17 | 15 | 15	jmdict
