word	kept	dropped	passes	tier
2世	20	21 23	20 | 20 23 | 20 21	corpus
ADP	27	10	10 | 27 | 27	corpus
AI	45	30	45 | 30 45 | 45	corpus
ASCII	31	11	11 | 31 | 31	corpus
AU		26 27 52	26 | 27 | 52	corpus
Am	32	51	32 | 51 | 32	corpus
Au	51	37	51 | 51 | 37 51	corpus
DNA	51	53	51 53 | 51 | 51	corpus
FIG	32	18	18 32 | 32 | 32	corpus
FISA	36	34	36 | 36 | 34	corpus
FTP	31	15	31 | 15 31 | 31	corpus
G		11 18 50	11 | 18 | 50	corpus
H	31	30	31 | 31 | 30	corpus
HD	45	13	45 | 13 45 | 45	corpus
I	20	31	20 | 20 | 31	corpus
K		18 19 31	18 | 31 | 19	corpus
L	19 31	18	31 | 18 19 31 | 19 31	corpus
LAN	45	17	17 | 45 | 45	corpus
MIPS	45	19	45 | 45 | 19 45	corpus
N	31	17	31 | 17 | 31	corpus
O	31	18	18 | 31 | 31	corpus
P	18	31	18 | 18 | 31	corpus
PS	31	40 45	40 | 31 | 31 45	corpus
S		18 19 51	18 | 19 | 51	corpus
SS		32 40 45	40 | 32 | 45	corpus
TCP/IP	31	40	31 | 31 | 40	corpus
TEL	45	31	45 | 45 | 31 45	corpus
UNIX	45	40	40 | 45 | 45	corpus
Unix	45	40	40 | 45 | 45	corpus
WAN	45	27	45 | 27 | 45	corpus
WLAN	45	27	45 | 45 | 27	corpus
Wi-Fi	45	31	45 | 45 | 31 45	corpus
WiFi	45	40	40 | 45 | 45	corpus
a	31	18	31 | 31 | 18	corpus
adh		10 11 57	11 | 57 | 10	corpus
alt	45	40	40 | 45 | 45	corpus
bar	44	19 40	44 | 19 | 40 44	corpus
bb	40	10	10 | 40 | 40	corpus
bh		10 40 52	40 | 52 | 10	corpus
bi		30 38 51	30 | 51 | 38	corpus
c	31	51	31 | 51 | 31	corpus
ce	16	51	16 | 51 | 16	corpus
coo	24	50	24 | 24 | 50	corpus
ct	45	19	19 | 45 | 45	corpus
da		10 11 40	40 | 10 | 11	corpus
dp		18 30 31	31 | 18 | 30	corpus
ebs	45	40	45 | 40 | 45	corpus
ect		10 11 15	11 | 10 | 15	corpus
ee		11 31 38	11 | 31 | 38	corpus
eq	10	30	30 | 10 | 10	corpus
ev	45	40	40 | 45 | 45	corpus
faq	31	32	31 | 31 | 32	corpus
fet	45	10	45 | 10 | 45	corpus
ftp	45	31	45 | 45 | 31	corpus
gc	15	45	45 | 15 | 15	corpus
gp		10 11 24	11 | 10 | 24	corpus
gpo	27	40	27 | 27 | 40	corpus
gy	19	11	19 | 19 | 11	corpus
hb		10 11 45	10 | 11 | 45	corpus
hn	20	31	31 | 20 | 20	corpus
ia	10	11	11 | 10 | 10	corpus
in	17	19	17 | 17 | 19	corpus
kbo	27	10	10 | 27 | 27	corpus
kc	19	40	40 | 19 | 19	corpus
kp	10	11	10 | 10 | 11	corpus
kv	19	40	19 | 19 | 40	corpus
l	31	19	31 | 31 | 19	corpus
lf	40	45	45 | 40 | 40	corpus
lh	57	11	57 | 11 | 57	corpus
min	19	16	19 | 16 | 19	corpus
nw	17	27	27 | 17 | 17	corpus
ov	32	11	11 | 32 | 32	corpus
pid	19	10	10 | 19 | 19	corpus
pom	40	41	41 | 40 | 40	corpus
pto	16	45	16 | 45 | 16	corpus
qt	45	19	45 | 45 | 19	corpus
r	31	18	31 | 18 | 31	corpus
rb	40	31 32 51	40 | 51 | 31 32 40	corpus
sas	45	40	40 | 45 | 45	corpus
sle	57	10	10 | 57 | 57	corpus
sn		10 19	19 | 10	corpus
ssa	30	10	30 | 30 | 10	corpus
sse	31	45	31 | 45 | 31	corpus
sw	40	45	45 | 40 | 40	corpus
tcp	31	30	30 | 31 | 31	corpus
tia	10	57	57 | 10 | 10	corpus
triga	45	15	15 | 45 | 45	corpus
un	27	13	27 | 13 | 27	corpus
www	31	40	40 | 31 | 31	corpus
あく		10 13 16 43	10 43 | 13 | 16	corpus
あたり	17 19	16	17 19 | 17 19 | 16 17 19	corpus
あだ名	31	20	31 | 20 | 31	jmdict
あべこべ	18	13	13 | 18 | 18	jmdict
あり合わせ	40	41	40 | 40 | 40 41	jmdict
あわ	50	43 51 54	50 | 43 50 54 | 51	corpus
あん摩	15	30	15 | 30 | 15	jmdict
い	56	31	31 | 56 | 56	corpus
いお	55	10	10 | 55 | 55	corpus
いす	40	45	45 | 40 | 40	corpus
いずれ	16	11 19	11 16 | 16 | 19	corpus
いずれか	11	19	11 | 11 | 19	corpus
いたちごっこ	15	35	15 | 35 | 15	corpus
いなか	26	17	26 | 17 26 | 26	corpus
う		10 31 55	55 | 10 | 31	corpus
うち	17	19	17 | 17 19 | 17	corpus
うつ伏せ	18	56	18 | 18 | 18 56	jmdict
うんこ	56	51	56 | 56 | 51	jmdict
えな	56	20	20 | 56 | 56	corpus
え付け	15	32	15 | 32 | 15	corpus
おき	15	17	17 | 15 | 15	corpus
おけ	45	40	45 | 40 | 45	corpus
おっぱい	56	43	43 56 | 56 | 56	jmdict
おり	16 45	18 40	16 18 40 | 16 45 | 16 45	corpus
お仕着せ	42	30 34	42 | 34 42 | 30 42	jmdict
お休み	16	15	15 16 | 16 | 16	jmdict
お使い	15	38	15 | 15 | 38	jmdict
お名前	31	20	20 | 31 | 31	jmdict
お墨付き	34	13	34 | 13 | 34	jmdict
お姉さん	21	20	20 21 | 21 | 21	jmdict
お宅	44	22	44 | 44 | 22 44	jmdict
お守り	40	33	40 | 33 40 | 40	jmdict
お家芸	30	32 33	30 | 32 33 | 30	jmdict
お年玉	37	33	33 37 | 37 | 37	jmdict
お待ちかね	10	30	10 | 10 | 30	jmdict
お手上げ	13	30	13 | 13 | 30	jmdict
お手伝い	35	30	30 | 35 | 35	jmdict
お手盛り	36	30	36 | 30 | 36	jmdict
お洒落	13	33 42	13 42 | 13 | 33	jmdict
お礼	35 40	30 37	30 35 37 | 35 40 | 35 40	jmdict
お祝い	35	33 40	35 | 35 | 33 40	jmdict
お祭り騒ぎ	33	13	33 | 33 | 13 33	jmdict
お節介	35	30	35 | 35 | 30	jmdict
お絞り	40	42	40 | 40 | 42	jmdict
お買い得	37	13	37 | 13 | 37	jmdict
かい		10 13 15 16 19 35 45 55	10 | 13 16 19 35 45 55 | 15	corpus
かえ	15	11	11 | 15 | 15	corpus
かけら	51	40	40 | 51 | 51	corpus
かさ	19 45	40	19 45 | 19 40 | 19 45	corpus
かし	37 43	31 32 54	31 32 37 43 54 | 43 | 37	corpus
かせ	45	40	45 | 45 | 40	corpus
かね	37	40 51	37 40 | 37 | 37 51	corpus
かり	37	10 15	10 15 37 | 37 | 37	corpus
かりやす	13	54	13 | 54 | 13	corpus
がけ	50	17	50 | 17 | 50	corpus
がさ		15 35 36	15 | 36 | 35	corpus
がさがさ	13	50	13 | 50 | 13	jmdict
がま	55	54	54 55 | 55 | 55	corpus
がら	13 18	56	13 18 | 18 | 13 18 56	corpus
がり	30	35	35 | 30 | 30	corpus
がれ		15 17 51	15 | 17 | 51	corpus
きり	19 50	15 45 54	19 | 15 45 50 54 | 19 50	corpus
くい		17 30 45	17 | 45 | 30	corpus
くこ		10 17 54	54 | 10 | 17	corpus
くじ引き	30	37	30 | 37 | 30	jmdict
くそ	51	56	56 | 51 | 51	corpus
くも	50 55	52	50 55 | 52 55 | 50 55	corpus
け	56	10	10 | 56 | 56	corpus
けた	19	44	19 | 19 44 | 19	corpus
こ		11 20 53	20 | 53 | 11	corpus
こち	17	50 55	17 55 | 17 | 50	corpus
こちら	17 20	22	17 | 17 20 | 17 20 22	corpus
このよう	13	18	13 | 18 | 13	corpus
