word	passes	tier	jmdict_priority
こせつく	13 | 30 | 34	jmdict	いいえ
させる	14 | 36 | 11	jmdict	はい
すすり込む	57 | 33 | 15 56	jmdict	いいえ
のめす	14 | 35 | 15 34	jmdict	いいえ
やり付ける	34 | 33 | 13	jmdict	いいえ
イレブる	33 | 15 | 34	jmdict	いいえ
ツモる	37 | 34 | 15	jmdict	いいえ
乗り組む	38 | 15 | 17	jmdict	はい
仕組む	34 | 32 | 30	jmdict	はい
位取る	34 | 36 | 17	jmdict	いいえ
使う	15 36 37 | 34 | 33	jmdict	はい
便ずる	57 | 33 | 34	jmdict	いいえ
恵まれる	37 | 13 | 19	jmdict	はい
悖る	34 | 13 | 11	jmdict	いいえ
成りすます	35 | 10 | 34	jmdict	いいえ
推す	36 | 34 | 30 35	jmdict	はい
映じる	15 | 17 | 30 50	jmdict	いいえ
流行る	12 | 11 50 | 13	jmdict	はい
漁る	15 | 33 38 | 37	jmdict	はい
為れる	14 | 12 | 13	jmdict	はい
甲走る	56 | 15 50 | 31	jmdict	いいえ
神がかる	13 | 50 | 30	jmdict	いいえ
空惚ける	33 | 10 | 35	jmdict	いいえ
粒立つ	13 | 12 | 15 51 56	jmdict	いいえ
群れ集まる	12 | 15 | 35	jmdict	いいえ
肯んずる	35 | 10 | 30	jmdict	いいえ
見つめ返す	30 | 56 | 33 35	jmdict	いいえ
貪り食う	57 | 56 | 33	jmdict	いいえ
配る	35 | 30 34 | 37	jmdict	はい
陰で動く	34 | 35 | 36	jmdict	いいえ
隠し切れる	10 | 34 | 15	jmdict	いいえ
隠す	15 | 17 31 | 12	jmdict	はい
頻る	51 | 50 | 16	jmdict	いいえ
飲める	33 | 56 | 57	jmdict	いいえ
